ID,Credit Card,Loyalty Card,Employee,Likelihood,Reason
7,3484,L2490,Varja Lagos,2,
8,1874,L4424,Isande Borrasca,2,
9,6816,L8148,Stenig Fusil,2,
11,2463,L6886,Willem Vasco-Pais,2,
12,9683,L7291,Brand Tempestad,2,
14,1310,L8012,Marin Onda,2,
15,9635,L3191,Ada Campo-Corrente,2,
16,1415,L7783,Lars Azada,2,
19,9405,L3259,Hennie Osvaldo,2,
20,5010,L2459,Sten Sanjorge Jr.,2,
22,9617,L5553,Birgitta Frente,2,
23,9551,L5777,Minke Mies,2,
25,7384,L3800,Sven Flecha,2,
26,4795,L8566,Edvard Vann,2,
27,5407,L4034,Isia Vann,2,
28,7688,L4164,Ingrid Barranco,2,
31,2540,L5947,Elsa Orilla,2,
32,1321,L4149,Axel Calzas,2,
34,7889,L6119,Lucas Alcazar,2,
38,7108,L6544,Hideki Cocinaro,2,
41,8332,L2070,Orhan Strum,2,
44,8156,L5224,Vira Frente,2,
45,3853,L1485,Loreto Bodrogi,2,
42,7354,L9254,Isia Vann,2,
43,6899,L6267,Isak Baza,2,
